Player,MP,3PA,3P%,2PA,2P%,eFG%,FTA,FT%,ORB,DRB,BLK,TOV,PS/G,% FG 3PT,%PTS 2PT MR,%PTS PITP,FGM %UAST,Drive FGA,Drive FG%,Drive PASS,Drive PASS%,SCREEN assists,DEFLECTIONS,LOOSE BALLS recovered,CHARGES drawn,C&S 3PA,C&S 3P%,C&S EFG%,AST PTS created,TOUCHES,TIME OF Pos,ELBOW touches,POST touches,PTS PER Elbow,PTS PER post,AVG SPEED OFF,AVG SPEED DEF
Justin Hamilton,18.4,2.8,0.306,3.1,0.598,0.532,0.8,0.75,1.1,3,0.7,0.7,6.9,5.9,8.8,48,18.4,0.2,35.7,0.2,33.3,1.4,0.9,0.3,0.03,2.7,32.7,49,2,32.7,0.6,0.9,1.8,0.305,1.063,5.06,4.03
Tim Hardaway,27.3,5.3,0.357,6.3,0.537,0.537,2.7,0.766,0.4,2.4,0.2,1.3,14.5,8.9,14.3,37.6,28.9,2.3,50,0.8,23.4,0.4,1.3,0.6,0.11,3.9,36.9,54.9,5.5,40.4,1.6,0.7,1.2,0.382,0.828,4.52,3.77
James Harden,36.4,9.3,0.347,9.6,0.53,0.525,10.9,0.847,1.2,7,0.5,5.7,29.1,5.5,31.7,29.5,81.9,5.3,54.8,3.2,30.3,0.5,2.9,1.1,0.11,2.3,38.3,57.2,27.1,99.2,8.9,0.8,0.4,0.515,0.5,4.06,3.3
Maurice Harkless,28.9,2.5,0.351,5.6,0.572,0.558,1.6,0.621,1.6,2.8,0.9,1.1,10,3.4,10,60.3,29.3,1.2,33,0.2,12.5,0.6,2.4,0.8,0.01,2.3,37.8,54.6,2.9,33.7,0.8,0.6,3.1,0.42,0.808,4.6,4.06
Montrezl Harrell,18.3,0.1,0.143,5.8,0.663,0.654,2.1,0.628,1.4,2.4,0.7,0.8,9.1,4.2,14.4,80.8,21.3,0.4,65.2,0.1,12.5,1.9,0.6,0.6,0.19,0.1,0,24.2,2.9,30.4,0.7,2.4,3.3,0.355,1.14,4.47,3.73
Devin Harris,16.7,2.7,0.328,2.5,0.476,0.484,2,0.829,0.2,1.8,0.1,0.9,6.7,6.9,24.5,28.8,37.5,1.2,40,1.6,48.1,0.3,1.3,0.5,0.18,1.9,36.4,54.9,5.1,29,1.5,0.7,0.5,0.085,0.906,4.42,3.7
Gary Harris,31.3,4.5,0.42,6.7,0.558,0.586,2.4,0.776,0.8,2.3,0.1,1.3,14.9,5.9,12.2,44.2,23.4,2.3,44.4,1.2,29.1,0.1,2.8,1,0,3.6,46.6,68.1,6.9,38.2,1.4,0.6,1.6,0.412,1,4.42,3.78
Joe Harris,21.9,4.3,0.385,2.7,0.489,0.543,0.9,0.714,0.3,2.5,0.2,1.1,8.2,3.7,8.2,28.5,16.9,1.1,41.8,0.7,31.4,0.2,1,0.5,0,3.4,39.5,58.2,2.5,29.5,0.9,0.5,0.7,0.783,0.737,5.2,4.02
Tobias Harris,31.3,3.8,0.347,9.1,0.537,0.532,2.8,0.841,0.8,4.3,0.5,1.2,16.1,19.5,14.4,41.3,39.3,2.9,50.2,0.7,16.1,1.1,1.6,0.7,0,3.6,35.9,53,4.1,58.3,1.8,1.8,1,0.358,1.16,4.72,3.75
Andrew Harrison,20.5,2.2,0.276,2.8,0.363,0.385,2.7,0.763,0.3,1.6,0.3,1.2,5.9,7.5,34.8,27.3,67.5,1.5,38.7,1.1,29.6,0.1,1.5,0.7,0.1,1.2,28.4,40.7,6.9,44.9,3.8,0.6,0.3,0.125,0.381,4.09,3.71
Gordon Hayward,34.5,5.1,0.398,10.7,0.506,0.536,5.9,0.844,0.7,4.7,0.3,1.9,21.9,15.5,22.6,34,48.4,2.6,47.9,1.6,30.3,0.3,1.7,1.1,0.01,3.4,38.5,55.6,8.6,62.5,3.3,2.4,2.5,0.474,1.044,4.58,3.71
Gerald Henderson,23.2,2.4,0.353,5.3,0.455,0.478,2.3,0.806,0.5,2.1,0.2,0.9,9.2,22.4,20.1,29.9,36.8,1.3,46.2,0.6,23.6,0.1,1.2,0.7,0.1,2,37.7,52.2,4,31.2,1.1,0.8,0.9,0.357,0.591,5.02,3.94
John Henson,19.4,0,0,5.3,0.516,0.515,1.8,0.692,1.6,3.5,1.3,0.9,6.8,6.1,18.9,75,27.7,0.1,40,0,0,1.9,1.2,0.4,0.02,0,0,25,2.3,24.4,0.6,4.3,4.5,0.089,0.862,4.28,3.87
Willy Hernangomez,18.4,0.2,0.267,6.3,0.538,0.533,1.7,0.728,2.4,4.6,0.5,1.4,8.2,7.2,15.5,75.3,38.6,0.2,46.7,0.1,22.7,2,1.4,0.6,0.03,0.2,28.6,41.8,3.3,38.9,0.9,3.3,3.5,0.252,0.853,4.67,4.02
Buddy Hield,23,4.6,0.391,4.7,0.461,0.523,0.9,0.842,0.4,2.9,0.1,1.2,10.6,11.3,7.4,30,40.4,1.4,42.6,0.8,32.9,0.1,1.1,0.8,0,2.9,41.4,60.1,3.5,33.2,1.4,0.8,0.5,0.406,1.023,5.11,4.14
Nene,17.9,0.1,0.333,5.8,0.624,0.621,2.9,0.589,1.4,2.8,0.6,1.1,9.1,10.5,19,69,15.9,0.3,54.5,0.2,35.9,2.8,1.5,0.7,0.15,0.1,28.6,41.9,2.6,29.3,0.6,2.3,3.7,0.427,1.036,4.53,3.87
Solomon Hill,29.7,3.4,0.348,2.6,0.428,0.481,1.6,0.805,0.6,3.2,0.4,1,7,3.2,18.3,28.4,31.7,1.1,38.5,0.5,22,0.5,2.3,0.8,0.01,3,37.3,55.4,4.1,34.9,1.2,0.4,0.6,0.03,1,4.44,3.82
Jrue Holiday,32.7,4.2,0.356,9.1,0.498,0.51,2.5,0.708,0.7,3.3,0.7,2.9,15.4,14.4,11.6,44.9,70.9,4.4,53.4,2.3,29.7,0.2,3.2,1.2,0.04,1.2,30.8,47,17.4,81.4,5.5,0.8,1.1,0.352,0.62,4.94,3.68
Justin Holiday,20,3.3,0.355,3.2,0.513,0.523,1,0.825,0.3,2.4,0.4,0.8,7.7,17.5,10.5,25.8,15.9,0.5,47.4,0.3,29.3,0.1,1.5,0.8,0.02,3,36,53.3,2.9,27.5,0.8,0.7,0.8,0.509,1.147,4.73,3.96
Rondae Hollis-Jefferson,22.6,0.9,0.224,6.1,0.463,0.447,3.2,0.751,1.2,4.6,0.6,1.5,8.7,10.7,28.1,54.5,45.5,1.8,41.5,0.9,24,0.7,2.1,1,0,0.7,22.6,31.2,4.8,46.6,1.5,0.8,2.5,0.508,0.707,4.93,4.08
Richaun Holmes,20.9,1.4,0.351,5.9,0.606,0.591,1.8,0.699,1.6,3.8,1,1,9.8,8.2,12.9,64.4,17.8,0.4,42.9,0,7.1,1.8,1.5,0.7,0.02,1.3,36,50,2.5,35.2,0.8,5.9,3.8,0.145,1.014,4.48,3.85
Rodney Hood,27,5.2,0.371,6.1,0.44,0.494,1.9,0.783,0.3,3.2,0.2,1.1,12.7,17.4,12,24.9,51.8,2.2,39.7,0.8,21.8,0.2,1,0.7,0,3.3,42.1,60.8,3.9,38.8,2.1,0.8,0.4,0.34,0.84,4.49,3.85
